,HomePlanet,CryoSleep,Destination,Age,Transported,Expenditure,No_spending,Group,Group_size,Solo,Cabin_deck,Cabin_side,Family_size
53,1,1,2,38,1,0.0,1,56,3,0,0,1,6.0
54,1,0,2,27,1,4547.0,0,56,3,0,0,1,6.0
55,0,1,1,36,0,0.0,1,58,1,1,6,1,6.0
56,0,0,2,22,0,2667.0,0,61,1,1,5,1,5.0
57,0,0,2,62,0,634.0,0,62,1,1,5,1,8.0
58,2,1,2,15,1,0.0,1,64,2,0,5,1,1.0
59,0,1,2,33,1,0.0,1,64,2,0,4,1,6.0
60,0,0,2,62,0,811.0,0,66,1,1,6,0,5.0
61,0,1,1,0,1,0.0,1,67,3,0,6,1,9.0
62,0,0,2,18,1,705.0,0,67,3,0,6,1,9.0
63,0,0,0,21,0,2007.0,0,67,3,0,5,1,9.0
64,2,0,2,28,0,1048.0,0,68,1,1,4,1,3.0
65,0,0,2,42,1,902.0,0,69,1,1,5,1,1.0
66,0,0,2,19,0,922.0,0,70,1,1,5,0,8.0
67,0,0,2,17,0,2233.0,0,71,1,1,5,0,3.0
68,0,0,2,14,0,1064.0,0,72,1,1,5,1,8.0
69,2,0,1,37,0,879.0,0,73,1,1,3,0,11.0
70,1,0,2,42,1,8904.0,0,74,1,1,2,1,7.0
71,2,0,2,27,1,1165.0,0,76,1,1,5,1,11.0
72,2,0,2,28,1,1309.0,0,77,1,1,5,0,2.0
73,1,0,2,38,0,15815.0,0,78,1,1,2,1,4.0
74,0,1,2,13,0,0.0,1,81,1,1,6,1,9.0
75,2,0,2,42,0,7406.0,0,82,3,0,5,0,6.0
76,2,1,2,2,1,0.0,1,82,3,0,5,0,6.0
77,2,0,2,8,1,0.0,1,82,3,0,5,0,1.0
78,0,0,2,24,1,705.0,0,84,1,1,6,1,6.0
79,1,1,2,40,1,0.0,1,85,1,1,2,1,2.0
80,0,0,2,43,0,1362.0,0,86,1,1,5,0,8.0
81,2,1,1,45,1,0.0,1,88,1,1,4,1,5.0
82,0,1,2,35,1,0.0,1,90,1,1,6,1,11.0
83,0,1,2,26,1,0.0,1,91,2,0,6,1,13.0
84,0,0,2,27,0,917.0,0,91,2,0,5,1,13.0
85,0,0,2,19,0,705.0,0,92,3,0,6,0,5.0
86,0,1,2,0,1,0.0,1,92,3,0,6,0,10.0
87,0,1,2,3,1,0.0,1,92,3,0,6,0,10.0
88,1,0,2,54,0,1848.0,0,97,1,1,0,1,5.0
89,0,0,2,26,0,893.0,0,98,2,0,6,0,6.0
90,0,0,2,26,1,3855.0,0,98,2,0,6,0,6.0
91,0,0,1,23,0,1301.0,0,99,2,0,5,0,3.0
92,0,1,2,2,1,0.0,1,99,2,0,6,0,4.0
93,2,1,2,31,1,0.0,1,101,1,1,7,1,6.0
94,0,0,2,18,0,921.0,0,102,1,1,5,1,5.0
95,0,0,2,24,1,17.0,0,103,3,0,5,1,6.0
96,0,1,0,9,1,0.0,1,103,3,0,6,1,6.0
97,0,1,2,6,0,0.0,1,103,3,0,6,1,6.0
98,0,1,2,27,0,703.0,0,105,1,1,5,0,9.0
99,2,0,2,21,0,1765.0,0,107,1,1,3,1,4.0
100,0,1,2,23,0,0.0,1,108,3,0,6,1,10.0
101,0,0,2,31,0,888.0,0,108,3,0,6,1,1.0
102,0,0,2,0,1,0.0,1,108,3,0,6,1,10.0
103,1,0,2,32,0,5109.0,0,110,4,0,7,1,7.0
104,1,1,2,40,0,2018.0,0,110,4,0,1,0,2.0
105,1,0,2,42,1,15940.0,0,110,4,0,1,0,7.0
106,1,1,2,28,1,0.0,1,110,4,0,1,0,7.0
107,1,1,2,29,1,0.0,1,111,1,1,4,1,6.0
108,1,0,0,48,1,2654.0,0,112,1,1,1,1,2.0
109,0,0,2,64,1,804.0,0,113,1,1,5,0,8.0
110,0,0,2,27,0,907.0,0,114,1,1,6,1,7.0
111,2,1,2,26,1,0.0,1,115,1,1,5,0,5.0
112,1,0,2,33,1,2640.0,0,116,1,1,3,0,2.0
113,0,0,2,39,0,9307.0,0,119,2,0,0,0,5.0
114,1,1,2,13,1,0.0,1,119,2,0,0,0,5.0
115,2,1,2,24,1,0.0,1,120,1,1,5,0,5.0
116,0,0,2,29,0,773.0,0,122,1,1,6,1,10.0
117,0,0,2,18,0,702.0,0,123,1,1,5,0,9.0
118,2,1,2,67,1,0.0,1,126,1,1,5,1,3.0
119,2,0,2,35,0,1022.0,0,127,1,1,4,1,3.0
120,2,0,2,61,0,3014.0,0,128,2,0,3,1,3.0
121,2,0,2,45,0,2109.0,0,128,2,0,4,1,3.0
122,0,1,1,22,1,0.0,1,129,1,1,6,1,7.0
123,2,1,2,19,1,0.0,1,133,2,0,5,1,7.0
124,2,0,2,36,0,2738.0,0,133,2,0,3,1,7.0
125,0,0,2,19,1,744.0,0,134,1,1,6,0,6.0
126,0,0,1,47,0,721.0,0,136,1,1,6,1,1.0
127,0,1,2,13,1,0.0,1,138,2,0,6,0,6.0
128,0,0,2,34,0,793.0,0,138,2,0,4,0,6.0
129,1,1,0,35,1,0.0,1,139,1,1,2,1,9.0
130,0,1,2,24,1,0.0,1,140,2,0,6,0,9.0
131,0,0,2,26,0,902.0,0,140,2,0,5,0,5.0
132,2,0,2,31,0,97.0,0,141,1,1,5,0,3.0
133,0,0,2,20,1,630.0,0,144,1,1,5,1,6.0
134,0,0,2,56,0,0.0,1,146,1,1,6,1,12.0
135,0,1,2,50,1,0.0,1,147,1,1,6,1,9.0
136,2,0,2,42,0,1158.0,0,148,1,1,5,0,7.0
137,0,1,0,28,1,0.0,1,149,1,1,6,1,9.0
138,0,1,0,38,0,0.0,1,151,1,1,6,0,10.0
139,0,0,2,41,0,607.0,0,152,1,1,5,0,6.0
140,0,0,2,22,0,4180.0,0,160,1,1,6,0,5.0
141,1,1,2,26,1,0.0,1,163,2,0,1,0,6.0
142,1,1,2,17,1,0.0,1,163,2,0,1,0,6.0
143,0,0,2,57,1,1873.0,0,164,2,0,6,1,6.0
144,0,1,1,17,0,0.0,1,164,2,0,6,1,6.0
145,2,1,2,35,1,0.0,1,165,1,1,5,0,3.0
146,2,1,2,13,1,0.0,1,167,2,0,5,1,8.0
147,2,0,2,27,0,1572.0,0,167,2,0,5,1,8.0
148,0,1,2,31,0,0.0,1,169,1,1,6,0,7.0
149,0,0,2,24,0,788.0,0,170,1,1,4,1,5.0
150,0,1,1,19,1,0.0,1,171,1,1,6,1,11.0
151,0,1,2,32,1,0.0,1,172,1,1,6,0,6.0
152,0,1,2,58,1,990.0,0,173,1,1,4,1,4.0
153,0,0,0,21,0,593.0,0,174,1,1,5,0,8.0
154,1,0,2,38,0,27428.0,0,177,1,1,1,1,4.0
155,2,0,2,38,0,3722.0,0,178,1,1,3,1,7.0
156,0,0,2,19,1,906.0,0,179,3,0,6,0,10.0
157,0,0,2,0,0,0.0,1,179,3,0,6,0,10.0
158,0,0,2,3,1,0.0,1,179,3,0,6,0,10.0
159,0,0,2,20,0,394.0,0,181,1,1,6,0,8.0
160,1,1,2,24,1,0.0,1,182,1,1,2,0,2.0
161,0,0,2,37,1,821.0,0,183,1,1,5,1,9.0
162,0,0,2,25,0,1018.0,0,186,1,1,6,0,8.0
163,0,1,2,56,1,0.0,1,188,1,1,6,1,5.0
164,0,0,0,49,0,788.0,0,189,1,1,4,0,4.0
165,0,1,0,11,0,0.0,1,190,1,1,6,1,1.0
166,0,1,2,1,1,0.0,1,192,3,0,6,0,10.0
167,0,0,2,8,0,0.0,1,192,3,0,6,0,10.0
168,0,0,2,39,0,908.0,0,192,3,0,6,0,10.0
169,2,1,2,2,1,0.0,1,193,3,0,5,0,5.0
170,2,0,2,23,0,1080.0,0,193,3,0,5,0,5.0
171,2,0,2,0,1,0.0,1,193,3,0,5,0,5.0
172,2,0,2,39,1,1273.0,0,195,1,1,5,0,8.0
173,2,0,1,25,0,1778.0,0,196,1,1,3,0,9.0
174,1,0,2,36,0,2342.0,0,197,1,1,2,0,4.0
175,0,1,1,52,1,0.0,1,198,1,1,6,0,8.0
176,0,1,2,18,0,0.0,1,199,1,1,6,1,6.0
177,0,1,2,15,1,0.0,1,200,1,1,6,0,10.0
178,1,1,2,35,1,0.0,1,201,2,0,1,1,6.0
179,1,1,2,47,1,0.0,1,201,2,0,1,1,6.0
180,1,1,0,45,1,0.0,1,202,2,0,1,0,7.0
181,1,0,0,28,1,3754.0,0,202,2,0,0,0,7.0
182,1,1,2,51,1,0.0,1,203,1,1,2,1,1.0
183,0,0,2,29,0,773.0,0,205,1,1,6,1,16.0
184,1,0,0,28,1,2981.0,0,206,1,1,2,1,2.0
185,0,1,1,19,0,0.0,1,207,1,1,6,0,7.0
186,0,1,0,24,1,0.0,1,210,1,1,3,0,3.0
187,2,0,2,29,1,1040.0,0,211,3,0,5,0,2.0
188,2,1,2,11,1,0.0,1,211,3,0,5,0,2.0
189,2,0,2,17,0,1337.0,0,211,3,0,5,0,6.0
190,0,0,2,13,0,982.0,0,212,2,0,4,0,9.0
191,0,0,2,35,0,732.0,0,212,2,0,5,0,9.0
192,0,0,2,21,0,794.0,0,213,1,1,5,0,12.0
193,0,0,0,21,0,1974.0,0,216,1,1,5,1,15.0
194,0,0,2,38,0,1544.0,0,217,1,1,5,0,10.0
195,0,1,2,19,1,0.0,1,219,1,1,6,0,15.0
196,0,1,2,2,1,0.0,1,220,7,0,6,0,12.0
197,0,0,2,0,1,0.0,1,220,7,0,6,0,12.0
198,0,1,2,13,0,0.0,1,220,7,0,6,0,12.0
199,0,0,2,25,0,206.0,0,220,7,0,4,0,12.0
200,0,0,2,16,0,1102.0,0,220,7,0,5,0,12.0
201,0,0,0,1,0,0.0,1,220,7,0,6,0,12.0
202,0,1,2,15,1,0.0,1,220,7,0,6,0,12.0
203,2,0,0,21,0,2356.0,0,221,7,0,4,1,7.0
204,2,0,2,23,0,1298.0,0,221,7,0,4,1,10.0
205,2,0,2,33,0,2134.0,0,221,7,0,4,1,10.0
206,2,1,2,21,1,0.0,1,221,7,0,4,1,10.0
207,2,0,2,41,0,2597.0,0,221,7,0,4,1,10.0
208,2,0,2,16,0,1370.0,0,221,7,0,4,1,10.0
209,2,1,2,42,0,0.0,1,221,7,0,4,1,10.0
210,2,0,2,20,0,1417.0,0,222,3,0,5,1,5.0
211,2,1,2,24,1,0.0,1,222,3,0,5,1,5.0
212,2,1,2,16,1,0.0,1,222,3,0,4,1,5.0
213,0,0,2,21,0,676.0,0,223,1,1,6,1,8.0
214,2,0,2,32,0,1820.0,0,224,1,1,5,1,4.0
215,0,1,1,58,1,0.0,1,225,1,1,6,0,9.0
216,0,0,2,24,0,803.0,0,229,1,1,5,1,10.0
217,2,0,2,30,0,1806.0,0,231,1,1,5,1,8.0
218,0,1,1,27,0,0.0,1,232,1,1,6,1,6.0
219,2,0,2,32,0,1750.0,0,233,1,1,5,1,5.0
220,0,0,2,43,0,888.0,0,234,1,1,5,0,12.0
221,1,1,2,42,1,0.0,1,237,1,1,1,0,4.0
222,2,0,2,37,0,1048.0,0,239,1,1,7,1,3.0
223,2,1,2,35,1,0.0,1,240,1,1,5,0,2.0
224,1,1,0,33,0,7177.0,0,241,1,1,4,0,6.0
225,0,0,2,18,0,1288.0,0,242,1,1,5,1,3.0
226,0,1,2,21,0,0.0,1,243,1,1,6,1,13.0
227,2,1,2,43,1,0.0,1,244,2,0,7,1,6.0
228,2,1,0,14,1,0.0,1,244,2,0,5,1,6.0
229,1,0,0,46,1,3578.0,0,245,2,0,2,0,3.0
230,1,0,2,33,0,12378.0,0,245,2,0,2,0,3.0
231,2,0,2,21,0,3261.0,0,246,1,1,3,0,5.0
232,1,0,2,33,0,9684.0,0,248,1,1,2,1,1.0
233,0,1,1,47,0,0.0,1,250,1,1,6,1,10.0
234,0,1,0,54,1,0.0,1,251,1,1,2,1,1.0
235,0,0,2,30,0,1571.0,0,252,1,1,5,0,7.0
236,0,0,2,29,0,888.0,0,253,1,1,6,0,10.0
237,0,0,2,21,1,1290.0,0,254,1,1,5,0,5.0
238,1,1,2,24,1,0.0,1,255,1,1,0,1,1.0
239,2,0,0,21,0,1664.0,0,257,2,0,5,1,7.0
240,2,1,2,60,1,0.0,1,257,2,0,5,1,7.0
241,0,0,2,22,0,704.0,0,258,1,1,5,1,12.0
242,1,0,2,26,0,7845.0,0,260,1,1,4,1,2.0
243,0,0,2,26,0,898.0,0,261,1,1,5,0,8.0
244,0,1,2,28,1,0.0,1,263,1,1,6,0,8.0
245,1,1,2,39,1,0.0,1,265,1,1,3,1,3.0
246,0,0,2,13,0,873.0,0,267,1,1,5,1,4.0
247,0,0,0,47,1,823.0,0,269,1,1,5,1,9.0
248,0,0,2,63,0,1393.0,0,270,1,1,5,0,14.0
249,1,1,0,28,1,0.0,1,275,1,1,3,1,3.0
250,0,0,0,50,1,2487.0,0,277,1,1,5,0,7.0
251,0,0,2,35,0,888.0,0,278,2,0,7,1,7.0
252,0,0,2,45,0,444.0,0,278,2,0,6,0,7.0
253,0,0,2,19,1,2078.0,0,281,1,1,5,0,8.0
254,0,0,2,21,1,918.0,0,282,1,1,5,1,6.0
255,0,1,1,29,1,0.0,1,283,2,0,6,0,8.0
256,0,0,2,22,1,803.0,0,283,2,0,5,0,8.0
257,1,1,2,14,1,0.0,1,285,2,0,4,0,11.0
258,1,1,0,42,1,0.0,1,285,2,0,4,0,11.0
259,0,0,0,57,0,1488.0,0,286,1,1,5,0,6.0
260,1,1,0,39,1,0.0,1,287,2,0,7,1,4.0
261,1,0,2,28,0,2085.0,0,287,2,0,1,0,4.0
262,0,0,0,19,0,828.0,0,288,1,1,5,1,5.0
263,1,1,0,19,1,0.0,1,289,1,1,2,1,6.0
264,1,0,0,26,1,5877.0,0,290,4,0,1,1,8.0
265,1,1,2,17,1,0.0,1,290,4,0,1,1,8.0
266,1,1,2,43,1,0.0,1,290,4,0,1,1,8.0
267,1,0,0,9,1,0.0,1,290,4,0,1,1,8.0
268,1,0,2,40,1,7678.0,0,291,1,1,3,1,4.0
269,1,1,2,50,1,0.0,1,294,1,1,1,1,4.0
270,0,0,2,24,1,1433.0,0,297,1,1,6,0,9.0
271,1,1,0,57,1,0.0,1,298,1,1,0,0,6.0
272,0,1,2,16,0,0.0,1,301,1,1,7,1,4.0
273,0,0,2,23,0,1385.0,0,302,1,1,5,0,8.0
274,0,1,2,23,1,0.0,1,303,1,1,6,1,5.0
275,1,0,2,28,0,7439.0,0,304,1,1,4,1,3.0
276,1,0,0,23,0,3073.0,0,305,1,1,2,0,1.0
277,0,0,2,23,0,904.0,0,306,1,1,4,1,4.0
278,0,0,2,18,1,1359.0,0,307,1,1,5,1,10.0
279,0,0,2,18,0,1357.0,0,309,1,1,5,1,1.0
280,1,0,2,67,0,4947.0,0,310,1,1,7,1,5.0
281,0,0,1,60,1,552.0,0,313,4,0,5,0,13.0
282,0,1,0,28,1,0.0,1,313,4,0,6,0,13.0
283,0,0,0,49,1,649.0,0,313,4,0,5,0,13.0
284,0,0,0,0,1,0.0,1,313,4,0,6,0,13.0
285,0,0,0,26,0,1790.0,0,314,1,1,6,0,4.0
286,0,1,1,35,1,0.0,1,315,1,1,6,1,11.0
287,1,0,2,24,1,2798.0,0,316,2,0,1,1,6.0
288,1,1,2,20,1,0.0,1,316,2,0,1,1,6.0
289,0,0,2,18,0,2.0,0,320,2,0,6,1,10.0
290,0,0,2,21,0,8.0,0,320,2,0,6,1,10.0
291,0,0,2,59,0,1227.0,0,321,1,1,5,1,5.0
292,0,1,1,13,0,0.0,1,322,1,1,6,1,8.0
293,0,1,0,43,0,0.0,1,324,1,1,6,0,3.0
294,0,1,2,29,0,0.0,1,326,1,1,6,1,7.0
295,0,0,2,19,1,803.0,0,327,1,1,7,1,7.0
296,1,0,2,2,1,0.0,1,330,3,0,2,1,4.0
297,1,0,2,32,1,5146.0,0,330,3,0,2,1,1.0
298,1,0,2,33,0,2168.0,0,330,3,0,2,1,4.0
299,0,0,2,25,0,803.0,0,331,1,1,5,0,6.0
300,2,1,0,29,1,0.0,1,333,1,1,5,0,3.0
301,2,0,2,29,0,7404.0,0,334,1,1,5,1,4.0
302,0,0,2,44,0,712.0,0,336,1,1,5,0,8.0
303,2,1,0,2,1,0.0,1,337,3,0,5,1,4.0
304,2,0,2,19,1,2460.0,0,337,3,0,5,1,4.0
305,2,0,0,0,1,0.0,1,337,3,0,5,1,1.0
306,0,1,2,18,1,0.0,1,338,1,1,6,1,14.0
307,1,1,0,38,1,0.0,1,340,1,1,1,1,1.0
308,0,1,1,5,0,0.0,1,341,1,1,6,0,10.0
309,0,0,1,31,0,1302.0,0,343,1,1,5,0,5.0
310,2,1,2,30,0,0.0,1,345,1,1,4,1,4.0
311,0,1,0,15,1,0.0,1,346,1,1,6,0,11.0
312,2,0,2,27,0,1868.0,0,347,1,1,5,1,6.0
313,2,0,2,22,1,3223.0,0,348,2,0,3,0,4.0
314,2,1,2,36,1,2385.0,0,348,2,0,7,1,4.0
315,0,1,1,14,1,0.0,1,350,1,1,6,0,6.0
316,2,0,2,23,0,4976.0,0,352,1,1,5,0,2.0
317,0,1,2,18,1,0.0,1,355,1,1,7,1,7.0
318,1,1,0,36,1,0.0,1,356,1,1,1,0,6.0
319,0,0,2,41,0,1894.0,0,357,1,1,5,1,6.0
320,0,1,2,50,1,0.0,1,358,2,0,6,1,8.0
321,0,1,1,32,1,0.0,1,358,2,0,6,1,8.0
322,0,0,1,26,0,689.0,0,359,1,1,5,1,5.0
323,0,0,2,15,0,715.0,0,360,1,1,5,1,4.0
324,0,0,0,33,1,733.0,0,361,1,1,5,1,6.0
325,0,0,0,28,0,706.0,0,365,1,1,6,1,10.0
326,2,0,2,26,0,7405.0,0,368,2,0,5,0,5.0
327,2,1,2,61,1,0.0,1,368,2,0,5,0,5.0
328,0,0,2,24,1,827.0,0,369,1,1,6,1,6.0
329,0,0,2,30,0,1559.0,0,370,1,1,5,0,4.0
330,2,1,2,24,1,0.0,1,371,1,1,5,0,6.0
331,0,0,2,24,0,2771.0,0,372,1,1,5,0,1.0
332,0,1,2,41,0,0.0,1,373,1,1,6,0,4.0
333,0,0,2,20,0,788.0,0,375,1,1,4,0,15.0
334,0,0,2,22,1,908.0,0,376,1,1,6,1,6.0
335,1,0,0,63,0,9432.0,0,377,1,1,2,1,8.0
336,1,0,0,18,0,6065.0,0,378,7,0,1,1,11.0
337,1,1,0,21,1,0.0,1,378,7,0,1,1,11.0
338,1,0,2,79,0,10645.0,0,378,7,0,1,1,11.0
339,1,1,2,56,1,0.0,1,378,7,0,1,1,11.0
340,1,1,2,13,1,0.0,1,378,7,0,1,1,11.0
341,1,0,2,33,0,4729.0,0,378,7,0,1,1,11.0
342,1,1,2,32,1,0.0,1,378,7,0,1,1,11.0
343,0,0,2,31,1,953.0,0,379,1,1,6,0,7.0
344,1,1,0,26,1,0.0,1,380,1,1,7,1,3.0
345,1,1,0,18,1,0.0,1,381,2,0,1,0,14.0
346,1,1,0,38,1,0.0,1,381,2,0,1,0,14.0
347,0,0,2,23,0,720.0,0,382,1,1,6,0,5.0
348,0,0,2,28,0,4688.0,0,383,2,0,6,1,13.0
349,0,1,1,34,0,0.0,1,383,2,0,6,1,13.0
350,0,0,0,0,1,0.0,1,384,2,0,6,1,13.0
351,0,0,2,14,1,909.0,0,384,2,0,6,1,13.0
352,0,0,2,23,0,888.0,0,385,1,1,6,0,5.0
353,0,1,2,49,0,0.0,1,387,1,1,6,0,11.0
354,0,1,2,14,0,0.0,1,388,1,1,6,1,10.0
355,0,0,2,18,0,791.0,0,389,1,1,4,0,12.0
356,1,0,1,27,1,6784.0,0,391,1,1,2,0,2.0
357,0,0,2,48,0,1619.0,0,392,1,1,4,0,10.0
358,1,0,0,31,0,25400.0,0,395,2,0,1,0,3.0
359,1,0,0,61,0,4445.0,0,395,2,0,1,0,3.0
360,0,1,2,18,1,0.0,1,396,1,1,6,1,5.0
361,2,1,2,45,1,0.0,1,397,1,1,5,1,9.0
362,2,0,2,22,0,6498.0,0,398,1,1,3,1,10.0
363,2,0,2,30,0,1056.0,0,401,2,0,3,1,10.0
364,2,0,2,30,0,1783.0,0,401,2,0,3,1,10.0
365,0,1,0,32,1,0.0,1,402,1,1,3,1,12.0
366,2,0,2,43,1,1251.0,0,403,1,1,3,0,9.0
367,0,0,0,17,0,494.0,0,405,1,1,5,0,10.0
368,0,0,2,23,0,1720.0,0,407,3,0,6,0,8.0
369,0,0,2,20,0,693.0,0,407,3,0,5,0,8.0
370,0,1,2,39,0,0.0,1,407,3,0,6,0,8.0
371,2,0,2,35,0,1299.0,0,408,1,1,4,0,9.0
372,2,0,2,31,0,1118.0,0,409,1,1,5,1,5.0
373,0,0,0,21,0,717.0,0,410,1,1,5,1,7.0
374,0,0,2,16,0,932.0,0,411,1,1,5,0,5.0
375,1,0,2,60,1,14744.0,0,412,1,1,2,0,6.0
376,0,0,2,18,0,569.0,0,413,1,1,5,0,8.0
377,0,1,2,42,0,0.0,1,415,1,1,6,1,8.0
378,1,1,0,68,1,0.0,1,417,3,0,1,0,2.0
379,1,0,0,22,0,7878.0,0,417,3,0,1,0,6.0
380,1,1,2,59,1,0.0,1,417,3,0,1,0,6.0
381,1,0,2,28,1,3662.0,0,423,1,1,1,0,3.0
382,2,0,2,37,0,1157.0,0,425,3,0,5,0,6.0
383,2,1,2,3,1,0.0,1,425,3,0,5,0,6.0
384,2,1,2,31,1,0.0,1,425,3,0,5,0,6.0
385,1,0,2,31,1,8956.0,0,427,1,1,4,0,2.0
386,1,0,2,29,1,7972.0,0,428,1,1,2,1,6.0
387,1,0,0,20,1,10345.0,0,429,2,0,0,1,6.0
388,1,1,0,46,1,0.0,1,429,2,0,0,1,6.0
389,0,0,2,29,1,1042.0,0,430,1,1,5,1,9.0
390,2,1,2,43,1,0.0,1,431,1,1,5,0,4.0
391,2,0,2,17,0,1493.0,0,432,1,1,5,1,10.0
392,1,1,0,27,1,0.0,1,433,2,0,1,0,6.0
393,1,0,2,47,0,7513.0,0,433,2,0,1,0,6.0
394,2,1,2,45,1,0.0,1,434,1,1,5,1,11.0
395,0,1,2,17,1,0.0,1,435,1,1,6,1,8.0
396,0,0,0,10,1,0.0,1,436,2,0,6,1,9.0
397,0,0,1,56,0,679.0,0,436,2,0,6,1,9.0
398,0,0,2,39,0,871.0,0,437,2,0,5,1,16.0
399,0,0,1,40,0,873.0,0,437,2,0,5,1,16.0
400,1,1,2,40,1,0.0,1,438,1,1,1,1,6.0
401,1,0,0,34,0,7674.0,0,439,1,1,2,0,2.0
402,0,0,0,32,0,722.0,0,441,1,1,5,1,8.0
403,0,0,2,35,0,1050.0,0,442,1,1,5,0,7.0
404,2,0,2,32,0,3015.0,0,444,2,0,3,0,3.0
405,0,0,2,26,0,2005.0,0,444,2,0,5,0,3.0
406,0,0,2,25,0,2175.0,0,445,2,0,5,1,5.0
407,0,0,2,26,0,792.0,0,445,2,0,4,1,5.0
408,1,1,0,22,1,0.0,1,446,1,1,1,0,3.0
409,0,0,2,22,1,804.0,0,447,1,1,5,1,3.0
410,0,0,2,24,0,789.0,0,448,2,0,4,0,9.0
411,0,1,1,32,1,0.0,1,448,2,0,6,0,1.0
412,0,1,2,11,1,0.0,1,449,1,1,6,1,6.0
413,2,1,2,22,1,0.0,1,452,1,1,4,1,7.0
414,1,1,2,19,1,0.0,1,453,3,0,1,1,5.0
415,1,1,0,34,1,0.0,1,453,3,0,7,1,5.0
416,1,1,2,74,1,0.0,1,453,3,0,1,1,5.0
417,1,1,0,28,1,5043.0,0,454,3,0,1,1,5.0
418,1,1,2,42,1,0.0,1,454,3,0,1,1,9.0
419,1,1,2,43,1,0.0,1,454,3,0,1,1,5.0
420,0,0,2,55,0,715.0,0,456,1,1,5,1,10.0
421,0,0,1,19,1,773.0,0,457,3,0,6,0,5.0
422,0,1,2,6,0,0.0,1,457,3,0,6,0,5.0
423,0,0,2,7,0,0.0,1,457,3,0,6,0,5.0
424,1,1,0,28,1,0.0,1,458,1,1,3,1,1.0
425,0,0,2,15,0,2217.0,0,459,1,1,5,1,10.0
426,0,1,1,24,1,0.0,1,460,1,1,6,1,2.0
427,0,0,1,31,1,869.0,0,461,3,0,4,1,13.0
